Rank,Title,Year,IMDb Rating,Votes,Runtime,Certificate,Description,Link,min_age,is_16_plus,inferred_genres,primary_genre
185,My Neighbor Totoro,1988,8.1,413922,1h 26m,G,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",https://www.imdb.com/title/tt0096283/,0.0,False,[],Unknown
186,Barry Lyndon,1975,8.1,196381,3h 5m,PG,An Irish rogue wins the heart of a rich widow and assumes her dead husband&apos;s aristocratic position in 18th-century England.,https://www.imdb.com/title/tt0072684/,10.0,False,['Romance'],Romance
187,Children of Heaven,1997,8.2,87047,1h 29m,PG,"After a boy loses his sister&apos;s pair of shoes, he goes on a series of adventures in order to find them. When he can&apos;t, he tries a new way to &quot;win&quot; a new pair.",https://www.imdb.com/title/tt0118849/,10.0,False,[],Unknown
188,Hacksaw Ridge,2016,8.1,647834,2h 19m,R,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",https://www.imdb.com/title/tt2119532/,17.0,True,"['Action', 'History', 'War']",Action
189,The Grand Budapest Hotel,2014,8.1,936656,1h 39m,R,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel&apos;s glorious years under an exceptional concierge.",https://www.imdb.com/title/tt2278388/,17.0,True,[],Unknown
190,12 Years a Slave,2013,8.1,769986,2h 14m,R,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",https://www.imdb.com/title/tt2024544/,17.0,True,[],Unknown
191,Spider-Man: No Way Home,2021,8.2,969292,2h 28m,PG-13,"With Spider-Man&apos;s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",https://www.imdb.com/title/tt10872600/,10.0,False,[],Unknown
192,Before Sunrise,1995,8.1,363873,1h 41m,R,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",https://www.imdb.com/title/tt0112471/,17.0,True,[],Unknown
193,Blade Runner,1982,8.1,860638,1h 57m,R,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,https://www.imdb.com/title/tt0083658/,17.0,True,['Sci-Fi'],Sci-Fi
194,Memories of Murder,2003,8.1,248065,2h 12m,Not Rated,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",https://www.imdb.com/title/tt0353969/,,False,"['Drama', 'Crime', 'Mystery']",Drama
195,Gone Girl,2014,8.1,1132691,2h 29m,R,The husband of a missing woman becomes the chief suspect in her disappearance.,https://www.imdb.com/title/tt2267998/,17.0,True,[],Unknown
196,Ratatouille,2007,8.1,899972,1h 51m,G,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,https://www.imdb.com/title/tt0382932/,0.0,False,[],Unknown
197,How to Train Your Dragon,2010,8.1,861785,1h 38m,PG,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",https://www.imdb.com/title/tt0892769/,10.0,False,['Fantasy'],Fantasy
198,"Monsters, Inc.",2001,8.1,1039211,1h 32m,G,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",https://www.imdb.com/title/tt0198781/,0.0,False,['Horror'],Horror
199,In the Name of the Father,1993,8.1,197921,2h 13m,R,"An Irish man&apos;s coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",https://www.imdb.com/title/tt0107207/,17.0,True,['Action'],Action
200,Jaws,1975,8.1,709674,2h 4m,PG,"When a massive killer shark unleashes chaos on a beach community off Long Island, it&apos;s up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",https://www.imdb.com/title/tt0073195/,10.0,False,"['Crime', 'Horror']",Crime
201,Wild Tales,2014,8.1,231178,2h 2m,R,Six short stories that explore the extremities of human behavior involving people in distress.,https://www.imdb.com/title/tt3011894/,17.0,True,[],Unknown
202,The Gold Rush,1925,8.1,125419,1h 35m,Approved,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",https://www.imdb.com/title/tt0015864/,,False,['Musical'],Musical
203,Ford v Ferrari,2019,8.1,536749,2h 32m,PG-13,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,https://www.imdb.com/title/tt1950186/,10.0,False,"['Action', 'History', 'War']",Action
204,Sherlock Jr.,1924,8.1,63168,45m,Passed,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend&apos;s father&apos;s pocketwatch.",https://www.imdb.com/title/tt0015324/,,False,"['Crime', 'Mystery']",Crime
205,Mary and Max,2009,8.1,197820,1h 32m,Not Rated,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger&apos;s syndrome.",https://www.imdb.com/title/tt0978762/,,False,[],Unknown
206,The Deer Hunter,1978,8.1,378535,3h 3m,R,The lives of a group of friends are forever changed by the Vietnam War.,https://www.imdb.com/title/tt0077416/,17.0,True,['War'],War
207,The Wages of Fear,1953,8.1,71427,2h 36m,Not Rated,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",https://www.imdb.com/title/tt0046268/,,False,[],Unknown
